candidate,family,instance,solver,seed,dbs_best_lb,dbs_verified_ub,dbs_gap,dbs_solver_opt,controller_best_lb,controller_verified_ub,controller_gap,controller_solver_opt,delta_lb_controller_minus_dbs,delta_ub_controller_minus_dbs,delta_gap_controller_minus_dbs,delta_opt_controller_minus_dbs
v006,BHOSLIB,frb30-15-1.clq,deep-v6,1,4,4,0,1,4,4,0,1,0,0,0,0
v006,BHOSLIB,frb30-15-1.clq,deep-v6,2,4,4,0,1,4,4,0,1,0,0,0,0
v006,BHOSLIB,frb30-15-1.clq,deep-v6,3,4,4,0,1,4,4,0,1,0,0,0,0
v006,BHOSLIB,frb30-15-1.clq,fast-v19,1,4,4,0,1,4,4,0,1,0,0,0,0
v006,BHOSLIB,frb30-15-1.clq,fast-v19,2,4,4,0,1,4,4,0,1,0,0,0,0
v006,BHOSLIB,frb30-15-1.clq,fast-v19,3,4,4,0,1,4,4,0,1,0,0,0,0
v006,BHOSLIB,frb40-19-1.clq,deep-v6,1,4,5,1,0,4,5,1,0,0,0,0,0
v006,BHOSLIB,frb40-19-1.clq,deep-v6,2,4,5,1,0,4,5,1,0,0,0,0,0
v006,BHOSLIB,frb40-19-1.clq,deep-v6,3,4,5,1,0,4,5,1,0,0,0,0,0
v006,BHOSLIB,frb40-19-1.clq,fast-v19,1,4,5,1,0,4,5,1,0,0,0,0,0
v006,BHOSLIB,frb40-19-1.clq,fast-v19,2,4,5,1,0,4,5,1,0,0,0,0,0
v006,BHOSLIB,frb40-19-1.clq,fast-v19,3,4,5,1,0,4,5,1,0,0,0,0,0
v006,BHOSLIB,frb50-23-3.clq,deep-v6,1,2,3,1,0,2,3,1,0,0,0,0,0
v006,BHOSLIB,frb50-23-3.clq,deep-v6,2,2,3,1,0,2,3,1,0,0,0,0,0
v006,BHOSLIB,frb50-23-3.clq,deep-v6,3,2,3,1,0,2,3,1,0,0,0,0,0
v006,BHOSLIB,frb50-23-3.clq,fast-v19,1,2,3,1,0,2,3,1,0,0,0,0,0
v006,BHOSLIB,frb50-23-3.clq,fast-v19,2,2,3,1,0,2,3,1,0,0,0,0,0
v006,BHOSLIB,frb50-23-3.clq,fast-v19,3,2,3,1,0,2,3,1,0,0,0,0,0
v006,BHOSLIB,frb56-25-1.clq,deep-v6,1,1,3,2,0,1,3,2,0,0,0,0,0
v006,BHOSLIB,frb56-25-1.clq,deep-v6,2,1,3,2,0,1,3,2,0,0,0,0,0
v006,BHOSLIB,frb56-25-1.clq,deep-v6,3,1,3,2,0,1,3,2,0,0,0,0,0
v006,BHOSLIB,frb56-25-1.clq,fast-v19,1,1,3,2,0,1,3,2,0,0,0,0,0
v006,BHOSLIB,frb56-25-1.clq,fast-v19,2,1,3,2,0,1,3,2,0,0,0,0,0
v006,BHOSLIB,frb56-25-1.clq,fast-v19,3,1,3,2,0,1,3,2,0,0,0,0,0
v006,BHOSLIB,frb56-25-4.clq,deep-v6,1,2,3,1,0,2,3,1,0,0,0,0,0
v006,BHOSLIB,frb56-25-4.clq,deep-v6,2,2,3,1,0,2,3,1,0,0,0,0,0
v006,BHOSLIB,frb56-25-4.clq,deep-v6,3,2,3,1,0,2,3,1,0,0,0,0,0
v006,BHOSLIB,frb56-25-4.clq,fast-v19,1,2,3,1,0,2,3,1,0,0,0,0,0
v006,BHOSLIB,frb56-25-4.clq,fast-v19,2,2,3,1,0,2,3,1,0,0,0,0,0
